,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses
159,2020,4,1102010,1.1.02.010,Flocos de milho,0.0171,0.19,0.39,
160,2020,5,1102010,1.1.02.010,Flocos de milho,0.0172,0.11,0.5,
161,2020,8,1102010,1.1.02.010,Flocos de milho,0.0168,2.66,1.03,
162,2020,9,1102010,1.1.02.010,Flocos de milho,0.0171,4.44,5.52,
163,2020,2,1102010,1.1.02.010,Flocos de milho,0.0171,-1.4,-1.79,
164,2020,3,1102010,1.1.02.010,Flocos de milho,0.0168,2.02,0.2,
165,2020,10,1102010,1.1.02.010,Flocos de milho,0.0177,-1.71,3.71,
166,2020,12,1102010,1.1.02.010,Flocos de milho,0.0166,0.19,0.84,0.84
167,2020,7,1102010,1.1.02.010,Flocos de milho,0.0171,-1.64,-1.59,
168,2020,10,1102012,1.1.02.012,Farinha de trigo,0.0445,-0.72,14.11,
169,2020,6,1102012,1.1.02.012,Farinha de trigo,0.0432,2.11,11.26,
170,2020,8,1102012,1.1.02.012,Farinha de trigo,0.0444,-0.27,12.75,
171,2020,1,1102012,1.1.02.012,Farinha de trigo,0.0395,0.33,0.33,
172,2020,12,1102012,1.1.02.012,Farinha de trigo,0.0437,1.6,16.69,16.69
173,2020,7,1102012,1.1.02.012,Farinha de trigo,0.0439,1.61,13.06,
174,2020,2,1102012,1.1.02.012,Farinha de trigo,0.0395,0.65,0.98,
175,2020,4,1102012,1.1.02.012,Farinha de trigo,0.0401,4.89,7.13,
176,2020,11,1102012,1.1.02.012,Farinha de trigo,0.0438,0.66,14.86,
177,2020,3,1102012,1.1.02.012,Farinha de trigo,0.0397,1.14,2.14,
178,2020,5,1102012,1.1.02.012,Farinha de trigo,0.0423,1.71,8.96,
179,2020,9,1102012,1.1.02.012,Farinha de trigo,0.044,1.94,14.94,
180,2020,2,1102023,1.1.02.023,Farinha de mandioca,0.1314,3.99,6.72,
181,2020,5,1102023,1.1.02.023,Farinha de mandioca,0.1404,0.24,10.2,
182,2020,7,1102023,1.1.02.023,Farinha de mandioca,0.1432,0.09,12.12,
183,2020,9,1102023,1.1.02.023,Farinha de mandioca,0.14,0.7,11.1,
184,2020,12,1102023,1.1.02.023,Farinha de mandioca,0.1375,0.74,11.98,11.98
185,2020,8,1102023,1.1.02.023,Farinha de mandioca,0.1425,-1.6,10.33,
186,2020,6,1102023,1.1.02.023,Farinha de mandioca,0.1411,1.66,12.02,
187,2020,1,1102023,1.1.02.023,Farinha de mandioca,0.1284,2.62,2.62,
188,2020,3,1102023,1.1.02.023,Farinha de mandioca,0.1363,1.36,8.17,
189,2020,11,1102023,1.1.02.023,Farinha de mandioca,0.1367,1.44,11.16,
190,2020,4,1102023,1.1.02.023,Farinha de mandioca,0.138,1.63,9.94,
191,2020,10,1102023,1.1.02.023,Farinha de mandioca,0.1397,-1.37,9.58,
192,2020,4,1102029,1.1.02.029,Massa semipreparada,0.1486,0.71,3.24,
193,2020,9,1102029,1.1.02.029,Massa semipreparada,0.1474,1.62,3.99,
194,2020,6,1102029,1.1.02.029,Massa semipreparada,0.1505,-0.29,2.99,
195,2020,7,1102029,1.1.02.029,Massa semipreparada,0.1495,-0.35,2.63,
196,2020,1,1102029,1.1.02.029,Massa semipreparada,0.1456,1.87,1.87,
197,2020,11,1102029,1.1.02.029,Massa semipreparada,0.1471,0.46,4.38,
198,2020,12,1102029,1.1.02.029,Massa semipreparada,0.1463,3.24,7.75,7.75
199,2020,10,1102029,1.1.02.029,Massa semipreparada,0.1485,-0.09,3.89,
200,2020,2,1102029,1.1.02.029,Massa semipreparada,0.1481,0.12,2.0,
201,2020,8,1102029,1.1.02.029,Massa semipreparada,0.1484,-0.28,2.34,
202,2020,5,1102029,1.1.02.029,Massa semipreparada,0.15,0.05,3.29,
203,2020,3,1102029,1.1.02.029,Massa semipreparada,0.1481,0.51,2.51,
204,2020,2,1102061,1.1.02.061,Macarrão instantâneo,0.0408,1.38,-0.32,
205,2020,4,1102061,1.1.02.061,Macarrão instantâneo,0.0414,0.89,0.93,
206,2020,6,1102061,1.1.02.061,Macarrão instantâneo,0.0419,1.61,2.05,
207,2020,12,1102061,1.1.02.061,Macarrão instantâneo,0.042,1.29,6.6,6.6
208,2020,1,1102061,1.1.02.061,Macarrão instantâneo,0.0416,-1.68,-1.68,
209,2020,3,1102061,1.1.02.061,Macarrão instantâneo,0.0413,0.36,0.04,
210,2020,11,1102061,1.1.02.061,Macarrão instantâneo,0.0424,0.22,5.24,
211,2020,7,1102061,1.1.02.061,Macarrão instantâneo,0.0424,0.58,2.64,
212,2020,9,1102061,1.1.02.061,Macarrão instantâneo,0.0425,0.49,3.73,
213,2020,5,1102061,1.1.02.061,Macarrão instantâneo,0.042,-0.49,0.44,
214,2020,8,1102061,1.1.02.061,Macarrão instantâneo,0.0425,0.57,3.22,
215,2020,10,1102061,1.1.02.061,Macarrão instantâneo,0.0423,1.24,5.01,
216,2020,7,1103,1.1.03.000,Tubérculos. raízes e legumes,0.922,-16.03,29.96,
217,2020,6,1103,1.1.03.000,Tubérculos. raízes e legumes,0.977,-5.35,54.76,
218,2020,12,1103,1.1.03.000,Tubérculos. raízes e legumes,0.8689,-2.26,47.65,47.65
219,2020,9,1103,1.1.03.000,Tubérculos. raízes e legumes,0.7203,-0.91,20.79,
220,2020,10,1103,1.1.03.000,Tubérculos. raízes e legumes,0.7076,8.09,30.56,
221,2020,3,1103,1.1.03.000,Tubérculos. raízes e legumes,0.7018,14.1,34.34,
222,2020,8,1103,1.1.03.000,Tubérculos. raízes e legumes,0.7707,-6.2,21.9,
223,2020,2,1103,1.1.03.000,Tubérculos. raízes e legumes,0.6465,8.77,17.74,
224,2020,5,1103,1.1.03.000,Tubérculos. raízes e legumes,0.9076,7.36,63.52,
225,2020,11,1103,1.1.03.000,Tubérculos. raízes e legumes,0.7582,15.7,51.07,
226,2020,1,1103,1.1.03.000,Tubérculos. raízes e legumes,0.5983,8.25,8.25,
227,2020,4,1103,1.1.03.000,Tubérculos. raízes e legumes,0.799,13.37,52.3,
